VARIAVEL,PC1,PC2,PC3,PC4,PC5,PC6,COMUNALIDADE
DOM_renda_pc_media,0.3058,-0.1267,-0.1773,-0.0308,0.0173,0.358,0.2704
DOM_pct_classe_AB,0.3203,-0.081,-0.0328,0.0622,-0.1149,0.1375,0.1462
DOM_pct_classe_DE,-0.2876,-0.077,-0.2796,-0.2594,0.0791,0.332,0.3506
DOM_pct_inseg_alimentar,-0.2965,-0.0335,-0.1127,-0.003,0.4169,-0.1007,0.2857
MOR_pct_servidor_total,0.3013,0.2262,-0.0595,0.0164,0.3265,0.0548,0.2554
MOR_pct_servidor_fed,0.2902,0.0862,-0.148,-0.0791,0.4963,0.3566,0.4933
MOR_pct_privado,-0.168,0.5906,0.0801,0.2161,0.4363,-0.1323,0.638
MOR_pct_conta_propria,-0.1673,0.3228,-0.3826,0.6484,-0.3606,0.2969,0.9172
MOR_pct_beneficio_social,-0.2969,-0.0902,-0.1697,-0.105,0.0559,0.4406,0.3334
MOR_pct_nativo_df,-0.0984,-0.3228,0.6743,0.4033,0.1844,0.4046,0.9289
MOR_pct_superior,0.3281,0.0195,-0.0506,0.0463,-0.0252,0.1207,0.1279
MOR_pct_sem_fund,-0.3018,-0.0655,-0.1115,-0.2996,-0.0052,0.1049,0.2086
MOR_pct_plano_saude,0.3247,0.0095,-0.1338,-0.0514,-0.0231,-0.0631,0.1306
MOR_renda_ind_media,0.0083,0.5845,0.4266,-0.4313,-0.308,0.3307,0.9139
